Tabla 1
fecha;posnet_rentas;posnet_caja;monto_ingresado
4/8/25;;$ 6.920,00;100.736,85
5/8/25;;$ 199.728,31;
6/8/25;$ 1.030.461,93;$ 808.040,40;
7/8/25;$ 5.240,00;$                     -;9.646,70
8/8/25;$ 116.572,01;$ 192.591,44;197.794,94
9/8/25;$ 111.466,67;$ 636.397,00;1.820.264,39
10/8/25;$                  -;$ 1.161.654,00;5.189,28
11/8/25;$ 78.394,64;$ 29.486,00;306.096,56
12/8/25;;$                     -;740.445,06
13/8/25;;;1.150.130,39
14/8/25;;;106.836,35
15/8/25;;;
16/8/25;;$ 1.890,00;
17/8/25;;$ 2.141.245,00;
18/8/25;$ 50.458,70;$ 2.828.260,22;
19/8/25;;$ 3.591,00;1871,7
20/8/25;;$                     -;2.120.003,86
21/8/25;;;2850162,03
22/8/25;;;3556,24
23/8/25;$                  -;$ 562.596,00;
24/8/25;$                  -;$                     -;
25/8/25;;$ 9.436,00;
26/8/25;;$                     -;557015,05
27/8/25;$                  -;$                     -;
28/8/25;;;9.344,66
29/8/25;;;
30/8/25;$ 10.500,00;$                     -;
31/8/25;;$                     -;
1/9/25;;$ 10.576,61;
2/9/25;;$                     -;10398,36
3/9/25;$                  -;$ 35.785,22;
4/9/25;;;10474,23
5/9/25;;;
6/9/25;$ 86.927,18;$ 875.668,00;35438,82
7/9/25;$                  -;$ 574.658,00;
8/9/25;;$ 153.290,00;
9/9/25;;$ 824.902,00;953046,24
10/9/25;$ 31.150,33;$ 1.443.562,56;568957,4
11/9/25;;;151806,15
12/9/25;;;816771,88
13/9/25;$                  -;$                     -;1460083,75
14/9/25;$ 317.786,78;$                     -;0
15/9/25;;$ 28.131,33;0
16/9/25;$ 217.033,90;$ 2.384.379,72;0
17/9/25;;$ 577.096,00;314634,33
18/9/25;;;27859,02
19/9/25;;;2575607,59
20/9/25;$ 621.493,22;$ 1.322.260,00;571371,21
21/9/25;$ 769.106,72;$ 422.716,00;
22/9/25;$ 584.651,13;$ 1.957.828,00;
23/9/25;$ 285.017,30;$ 8.644,00;1924471,18
24/9/25;415714,06;$ 116.728,00;1179752,04
25/9/25;;;2517257,74
26/9/25;;;290748,19
27/9/25;0;$ 105.247,56;526625,6
28/9/25;107104,94;$                     -;
29/9/25;;$ 1.858.298,00;
30/9/25;195609,43;$                     -;104.228,76
1/10/25;0;$                     -;106.068,16
2/10/25;;;1.835.255,10
3/10/25;;;193.242,56
4/10/25;;$                     -;
5/10/25;307252,5;$ 1.221.218,00;
6/10/25;;$                     -;
7/10/25;648854,78;$ 2.022.378,00;
8/10/25;;;1509517,45
9/10/25;;;
10/10/25;;;2638109,49
11/10/25;0;$                     -;
12/10/25;0;$                     -;
13/10/25;41813;$ 7.300,00;
14/10/25;17384,92;$ 8.644,00;
15/10/25;7446,17;$ 522.808,00;
16/10/25;;;48.518,73
17/10/25;;;25713,97
18/10/25;;$ 887.370,00;523679,02
19/10/25;0;$                     -;
20/10/25;;$ 479.668,00;
21/10/25;;$                     -;876366,61
22/10/25;0;$                     -;
23/10/25;;;473720,12
24/10/25;;;
25/10/25;;$ 356.025,00;
26/10/25;73191,6;$ 9.880,00;
27/10/25;27478,3;$ 20.550,00;
28/10/25;;$                     -;351.610,29
29/10/25;;$                     -;82.066,43
30/10/25;;;47.447,16
31/10/25;;;
1/11/25;;$                     -;
2/11/25;697008,76;$ 36.510,00;
3/11/25;;$ 314.439,50;
4/11/25;;$                     -;
5/11/25;;$                     -;724.423,12
6/11/25;;;310540,45
7/11/25;;;
8/11/25;;$ 429.898,00;
9/11/25;;$ 79.930,00;
10/11/25;;$ 1.312.188,00;
11/11/25;635343,49;$ 568.426,00;424567,26
12/11/25;;$                     -;78962,85
13/11/25;;;1295916,87
14/11/25;;;1188842,76
15/11/25;0;$                     -;
16/11/25;881658,9;$                     -;
17/11/25;;$                     -;
18/11/25;104443,93;$ 8.250,00;
19/11/25;;;870726,33
20/11/25;;;
21/11/25;;;111.330,33
22/11/25;;;
23/11/25;;$ 23.810,00;
24/11/25;;$ 286.483,94;
25/11/25;;$                     -;
26/11/25;90804,1;$ 15.960,00;23.521,90
27/11/25;;;282.931,54
28/11/25;;;
29/11/25;;$ 441.443,00;105472,26
30/11/25;7600;$ 15.630,00;
1/12/25;;$ 1.575.284,00;
2/12/25;85550;$ 34.348,00;435969,11
3/12/25;734401,41;$                     -;22.948,92
4/12/25;;;1555750,47
5/12/25;;;118447,23
6/12/25;241999,79;$ 401.186,00;725294,83
7/12/25;;$ 20.550,00;
8/12/25;;$ 9.190,00;
9/12/25;33015,57;$                     -;635210,238
10/12/25;;;20.301,34
11/12/25;;;9.078,80
12/12/25;;;32.616,08
13/12/25;;$ 682.110,00;
14/12/25;207698,62;$ 2.698.431,31;
15/12/25;;$ 26.435,00;
16/12/25;72172,28;$ 1.612.926,00;673.651,84
17/12/25;;$ 498.940,00;2.870.093,92
18/12/25;;;26.115,14
19/12/25;;;1.664.203,04
20/12/25;168005,09;$ 592.258,00;492.753,14
21/12/25;63329,72;$ 59.278,00;
22/12/25;;;
23/12/25;;;750.835,83
24/12/25;85628,95;$ 9.944,00;121.124,16
25/12/25;;;
26/12/25;;;
27/12/25;96327,08;$                     -;94416,52
28/12/25;;$                     -;
29/12/25;;;
30/12/25;7600;$                     -;95161,52
31/12/25;;;
1/1/26;;;
2/1/26;;;7508,04
3/1/26;1566950;$                     -;
4/1/26;;$ 345.744,68;
5/1/26;;$ 80.658,55;
6/1/26;;$ 491.019,00;1.547.519,81
7/1/26;;$ 1.313.460,30;331.344,43
8/1/26;;;79.682,58
9/1/26;;;495046,46
10/1/26;;$ 103.896,00;1.297.173,40
11/1/26;;$ 223.013,00;
12/1/26;;$ 265.824,00;
13/1/26;8815,6;$                     -;102.638,86
14/1/26;;$ 2.218,00;220.247,64
15/1/26;;;262.527,78
16/1/26;;;
17/1/26;;$ 11.532,00;
18/1/26;;$                     -;
19/1/26;;$                     -;
20/1/26;542100;$ 562.010,00;
21/1/26;306241,28;$                     -;
22/1/26;;;
23/1/26;;;
24/1/26;;$                     -;
25/1/26;;;
26/1/26;;;
